colsample_bytree,colsample_bynode,max_depth,learning_rate,n_estimators,subsample,gamma,max_leaves,test_mae,train_mae
0.5,1.0,3,0.08999,100,1.0,0.0,100,256336.69609438567,204451.57907210573
0.5,1.0,3,0.15,100,0.5,1.0,0,214659.6220504475,178038.92705041653
1.0,1.0,15,0.08999,100,0.5,0.0,100,70263.85455655004,22803.005440247056
1.0,1.0,3,0.15,100,1.0,0.0,0,116674.1167615948,72132.75773843723
0.5,1.0,15,0.08999,100,0.5,1.0,0,216713.67748169243,35411.00931844298
1.0,0.5,15,0.15,700,1.0,0.0,0,95578.02369812856,128.1265979603562
1.0,0.5,3,0.08999,100,1.0,0.0,100,177018.9739625712,139644.04086469405
1.0,0.5,3,0.15,100,1.0,1.0,100,171987.93429617575,120649.15965239874
0.5,1.0,3,0.15,700,0.5,1.0,100,136541.34326688363,59512.18809250216
0.5,0.5,3,0.08999,100,1.0,1.0,0,338749.775630594,292108.23919132433
1.0,1.0,15,0.08999,100,1.0,0.0,0,91892.6348657445,4157.2097098534905
0.5,0.5,3,0.08999,700,0.5,1.0,0,176619.84987794954,98391.50251364552
1.0,1.0,3,0.15,700,0.5,0.0,0,96294.62123677786,33277.584153260555
1.0,0.5,3,0.08999,700,1.0,0.0,0,111463.24430431244,52487.96046394714
1.0,1.0,3,0.15,700,1.0,0.0,100,83009.12855980473,24601.01145504165
1.0,0.5,3,0.15,700,0.5,1.0,100,158117.90632628152,63476.91755242746
0.5,1.0,3,0.08999,100,0.5,0.0,0,257380.6509357201,219145.28874605
1.0,0.5,15,0.08999,100,1.0,1.0,100,98607.98291293735,23813.728975150814
1.0,1.0,15,0.15,100,0.5,1.0,100,81370.82262001628,17607.309286124677
1.0,1.0,3,0.08999,100,0.5,1.0,100,101146.4125305126,68383.46789715599
1.0,0.5,15,0.08999,100,0.5,1.0,0,92602.8782546786,25093.452779373743
1.0,1.0,3,0.08999,100,1.0,1.0,0,102610.12855980473,65241.20066072968
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
0.75,0.75,9,0.119995,400,0.75,0.5,50,100885.28020748576,10149.365502010916
